Joueur	Année	Pays	Poste	Position	Taille	Poids	IMC
Lalanne	2011	Argentine	Demi	Arrière	172	79	26.704
Leguizamon	2011	Argentine	3e ligne	Avant	190	106	29.363
Roncero	2011	Argentine	1ère ligne	Avant	177	113	36.069
Sanchez	2011	Argentine	Demi	Arrière	177	83	26.493
Scelzo	2011	Argentine	1ère ligne	Avant	189	137	38.353
Senatore	2011	Argentine	3e ligne	Avant	191	106	29.056
Tiesi	2011	Argentine	Centre	Arrière	185	88	25.712
Vallejos Cinalli	2011	Argentine	2e ligne	Avant	184	105	31.014
Vergallo	2011	Argentine	Demi	Arrière	170	77	26.644
Bustos	2011	Argentine	1ère ligne	Avant	183	130	38.819
Fernandez	2011	Argentine	Centre	Arrière	183	90	26.874
Fessia	2011	Argentine	3e ligne	Avant	188	113	31.971
Ledesma	2011	Argentine	1ère ligne	Avant	183	110	32.847
Rodriguez	2011	Argentine	Arrière	Arrière	185	96	28.050
Bosch	2011	Argentine	Arrière	Arrière	186	93	26.882
Camachio	2011	Argentine	Ailier	Arrière	173	82	27.398
Figallo	2011	Argentine	1ère ligne	Avant	187	112	32.028
Imhoff	2011	Argentine	Ailier	Arrière	182	82	24.755
Bowen	1995	Australie	Demi	Arrière	176	83	26.795
Burke	1995	Australie	Arrière	Arrière	184	95	28.060
Campese	1995	Australie	Ailier	Arrière	180	90	27.778
Coker	1995	Australie	3e ligne	Avant	200	118	29.500
Crowley	1995	Australie	1ère ligne	Avant	175	103	33.633
Daly	1995	Australie	1ère ligne	Avant	179	110	34.331
Eales	1995	Australie	2e ligne	Avant	200	116	29.000
Foley	1995	Australie	3e ligne	Avant	183	104	31.055
Gavin	1995	Australie	3e ligne	Avant	195	107	28.139
Gregan	1995	Australie	Demi	Arrière	172	77	26.028
Hartill	1995	Australie	1ère ligne	Avant	183	113	33.742
Herbert	1995	Australie	Centre	Arrière	187	94	26.881
Horan	1995	Australie	Centre	Arrière	183	88	26.277
Kearns	1995	Australie	1ère ligne	Avant	183	110	32.847
Little	1995	Australie	Centre	Arrière	184	94	27.765
Lynagh	1995	Australie	Demi	Arrière	178	80	25.249
McCall	1995	Australie	2e ligne	Avant	198	112	28.569
McKenzie	1995	Australie	1ère ligne	Avant	182	112	33.812
Ofahengaue	1995	Australie	3e ligne	Avant	193	115	30.873
Pini	1995	Australie	Arrière	Arrière	182	90	27.171
Roff	1995	Australie	Ailier	Arrière	192	98	26.584
Slattery	1995	Australie	Demi	Arrière	178	79	24.934
Smith	1995	Australie	Ailier	Arrière	190	102	28.255
Tabua	1995	Australie	3e ligne	Avant	190	107	29.640
Waugh	1995	Australie	2e ligne	Avant	203	123	29.848
Wilson	1995	Australie	3e ligne	Avant	188	94	26.596
Blades	1999	Australie	1ère ligne	Avant	178	109	34.402
Bowman	1999	Australie	2e ligne	Avant	201	118	29.207
Burke	1999	Australie	Arrière	Arrière	184	98	28.946
Cockbain	1999	Australie	3e ligne	Avant	197	108	27.829
Connors	1999	Australie	2e ligne	Avant	195	104	27.350
Crowley	1999	Australie	1ère ligne	Avant	175	103	33.633
Eales	1999	Australie	2e ligne	Avant	200	115	28.750
Finegan	1999	Australie	3e ligne	Avant	198	114	29.079
Foley	1999	Australie	1ère ligne	Avant	181	106	32.356
Giffin	1999	Australie	2e ligne	Avant	198	115	29.334
Gregan	1999	Australie	Demi	Arrière	173	80	26.730
Grey	1999	Australie	Centre	Arrière	185	96	28.050
Harry	1999	Australie	1ère ligne	Avant	184	120	35.444
Herbert	1999	Australie	Centre	Arrière	188	100	28.293
Horan	1999	Australie	Centre	Arrière	183	93	27.770
Kafers	1999	Australie	Demi	Arrière	177	95	30.323
Kearns	1999	Australie	1ère ligne	Avant	183	110	32.847
Kefu	1999	Australie	3e ligne	Avant	191	106	29.056
Larkham	1999	Australie	Demi	Arrière	188	87	24.615
Latham	1999	Australie	Arrière	Arrière	192	93	25.228
Little	1999	Australie	Ailier	Arrière	183	100	29.861
Noriega	1999	Australie	1ère ligne	Avant	185	119	34.770
Paul	1999	Australie	1ère ligne	Avant	186	109	31.507
Roff	1999	Australie	Ailier	Arrière	192	100	27.127
Staniforth	1999	Australie	Centre	Arrière	186	96	27.749
Strauss	1999	Australie	3e ligne	Avant	189	104	29.115
Tune	1999	Australie	Ailier	Arrière	185	92	26.881
Whitaker	1999	Australie	Demi	Arrière	179	85	26.529
Williams	1999	Australie	3e ligne	Avant	193	110	29.531
Wilson	1999	Australie	3e ligne	Avant	187	96	27.453
Cannon	2003	Australie	1ère ligne	Avant	187	108	30.884
Darwin	2003	Australie	1ère ligne	Avant	187	116	33.172
Dunning	2003	Australie	1ère ligne	Avant	185	125	36.523
Paul	2003	Australie	1ère ligne	Avant	185	108	31.556
Young	2003	Australie	1ère ligne	Avant	190	110	30.471
Baxter	2003	Australie	1ère ligne	Avant	190	117	32.410
Giffin	2003	Australie	2e ligne	Avant	198	112	28.569
Harrison	2003	Australie	2e ligne	Avant	203	111	26.936
Sharpe	2003	Australie	2e ligne	Avant	200	113	28.250
Vickerman	2003	Australie	2e ligne	Avant	203	114	27.664
Cockbain	2003	Australie	3e ligne	Avant	195	108	28.402
Lyons	2003	Australie	3e ligne	Avant	190	116	32.133
Roe	2003	Australie	3e ligne	Avant	187	98	28.025
Smith	2003	Australie	3e ligne	Avant	180	103	31.790
Waugh	2003	Australie	3e ligne	Avant	182	97	29.284
Croft	2003	Australie	3e ligne	Avant	185	98	28.634
Mortlock	2003	Australie	Ailier	Arrière	190	95	26.316
Roff	2003	Australie	Ailier	Arrière	190	102	28.255
Sailor	2003	Australie	Ailier	Arrière	191	106	29.056
Tuqiri	2003	Australie	Ailier	Arrière	191	103	28.234
Latham	2003	Australie	Arrière	Arrière	190	93	25.762
Burke	2003	Australie	Arrière	Arrière	182	94	28.378
Giteau	2003	Australie	Centre	Arrière	177	82	26.174
Grey	2003	Australie	Centre	Arrière	182	94	28.378
Rogers	2003	Australie	Centre	Arrière	182	87	26.265
Turinui	2003	Australie	Centre	Arrière	180	102	31.481
Flatley	2003	Australie	Demi	Arrière	177	90	28.727
Gregan	2003	Australie	Demi	Arrière	172	79	26.704
Larkham	2003	Australie	Demi	Arrière	187	86	24.593
Whitaker	2003	Australie	Demi	Arrière	180	84	25.926
Dunning	2007	Australie	1ère ligne	Avant	182	115	34.718
Shepherdson	2007	Australie	1ère ligne	Avant	186	117	33.819
Holmes	2007	Australie	1ère ligne	Avant	183	112	33.444
Waugh	2007	Australie	3e ligne	Avant	175	100	32.653
Moore	2007	Australie	1ère ligne	Avant	186	112	32.374
Baxter	2007	Australie	1ère ligne	Avant	190	116	32.133
Freier	2007	Australie	1ère ligne	Avant	175	98	32.000
Palu	2007	Australie	3e ligne	Avant	194	120	31.884
Smith	2007	Australie	3e ligne	Avant	180	103	31.790
Lyons	2007	Australie	3e ligne	Avant	192	117	31.738
Hardman	2007	Australie	1ère ligne	Avant	183	105	31.354
Ashley-Cooper	2007	Australie	Centre	Arrière	182	98	29.586
Chisholm	2007	Australie	2e ligne	Avant	197	112	28.859
Sharpe	2007	Australie	2e ligne	Avant	200	115	28.750
