"I","P","Heure De Collecte","Url Source","Titre","Competiton","Type","Realise Par","Pays","Awards","Duree","Premier Film","Categorie4","Annee"
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/2001865/year/2001.html","NO MAN'S LAND","En Compétition","Longs Métrages","Danis TANOVIC","FRANCE, BELGIQUE, ITALIE, ROYAUME-UNI, SLOVÉNIE","Prix du scénario, 2001","98.00 minutes","1","er film",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4682/year/1996.html","CRASH","En Compétition","Longs Métrages","David CRONENBERG","CANADA","Prix spécial du Jury, 1996","103.00 minutes","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/3101990/year/2002.html","SPIDER","En Compétition","Longs Métrages","David CRONENBERG","CANADA, ROYAUME-UNI, FRANCE","","98.00 minutes","","","2001"
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4277356/year/2005.html","A HISTORY OF VIOLENCE","En Compétition","Longs Métrages","David CRONENBERG","CANADA","","96.00 minutes","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/11255983/year/2012.html","COSMOPOLIS","En Compétition","Longs Métrages","David CRONENBERG","FRANCE, CANADA","","108.00 minutes","","","2012"
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/100004169/year/2014.html","MAPS TO THE STARS","En Compétition","Longs Métrages","David CRONENBERG","CANADA, ALLEMAGNE","Prix d'interprétation féminine, 2014","111.00 minutes","","","2014"
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4432105/year/2007.html","ZODIAC","En Compétition","Longs Métrages","David FINCHER","ÉTATS-UNIS","","156.00 minutes","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/2283/year/1973.html","GODSPELL","En Compétition","Longs Métrages","David GREEN","ÉTATS-UNIS","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4310/year/1946.html","BRIEF ENCOUNTER (BREVE RENCONTRE)","En Compétition","Longs Métrages","David LEAN","ROYAUME-UNI","Grand Prix, 1946","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4173/year/1949.html","THE PASSIONATE FRIENDS (LES AMANTS PASSIONNES)","En Compétition","Longs Métrages","David LEAN","ROYAUME-UNI","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/2823/year/1966.html","DOCTOR ZHIVAGO (LE DOCTEUR JIVAGO)","En Compétition","Longs Métrages","David LEAN","ÉTATS-UNIS","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/164/year/1990.html","WILD AT HEART (SAILOR ET LULA)","En Compétition","Longs Métrages","David LYNCH","ÉTATS-UNIS","Palme d'or, 1990","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/21/year/1992.html","TWIN PEAKS FIRE WALK WITH ME (TWIN PEAKS: ""FEU MARCHE AVEC MOI"")","En Compétition","Longs Métrages","David LYNCH","ÉTATS-UNIS, FRANCE","","135.00 minutes","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/5329/year/1999.html","THE STRAIGHT STORY (UNE HISTOIRE VRAIE)","En Compétition","Longs Métrages","David LYNCH","ÉTATS-UNIS, FRANCE","","111.00 minutes","","",""
