ID,Nom,Année de naissance,Age,Ecole,ENA,Poste origine,Origine privé ou public,Sexe,Poste,Présidence (O/N),Date entrée,Recrutement interne,Date sortie,Mobilité interne,Poste sortie,Sortie public ou privé,Date de sortie poste de sortie,Durée,Lien
45,Valérie Metrich-Hecquet,24/09/1963,53,INA,0,Directrice départementale des territoires des Yvelines,Public,Femme,"Conseillère agriculture, développement rural et pêche",1,22/05/2012,,06/01/2014,,"Secrétaire générale du ministère de l'Agriculture, de l'Agroalimentaire et e la Forêt",Public,,594,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025910419,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000028437069,http://agriculture.gouv.fr/madame-valerie-metrich-hecquet-nommee-secretaire-generale-du-ministere-de-lagriculture-de"
46,Marie-Hélène Aubert,16/11/1955,61,CAPES de lettres modernes,0,Directrice adjointe de Futur Facteur 4,Privé,Femme,Conseillère pour les négociations internationales climat et environnement,1,22/05/2012,,06/05/2016,,Inspectrice générale de l'administration du développement durable,Public,,1445,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025910419,https://www.legifrance.gouv.fr/affichTexte.do;jsessionid=4A6A7323C1D7267F38581A87103F4470.tpdila15v_3?cidTexte=JORFTEXT000032510775&dateTexte=&oldAction=rechJO&categorieLien=id&idJO=JORFCONT000032510730,http://www.lepoint.fr/francois-hollande-recase-a-tout-va-18-05-2016-2040257_19.php"
47,Marc Vizy,24/09/1958,58,ENA (Fernand Braudel),1,,,Homme,Conseiller outre-mer,1,22/05/2012,,,,,,,1483,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025910419
48,Isabelle Sima,1971,45,IEP Toulouse,0,"Conseillère politique et parlementaire au cabinet de Jean-Yves Le Drian, président du conseil régional de Bretagne",Public,Femme,Chef adjointe de cabinet,1,22/05/2012,,12/06/2013,1,Chef de cabinet de la présidence de la République,Public,,386,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025910419,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000027696967"
49,Bernard Combes,13/02/1960,56,Diplôme en sciences de l'éducation,0,"Conseiller départemental de Corrèze, canton de Tulle",Public,Homme,Conseiller technique chargé des relations avec les élus,1,04/06/2012,,01/03/2016,1,Conseiller projets locaux de la présidence de la République,Public,,1366,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025971709&categorieLien=id,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id"
50,Pierre Schill,1967,49,Saint-Cyr,0,,,Homme,Etat-major particuler,1,20/08/2012,,,,,,,1393,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000026296124
51,Eric Bio-Farina,inconnue,inconnu,Ecole de guerre,0,,,Homme,Commandant militaire,1,05/10/2012,,,,,,,1347,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000026460496
52,Claude Sérillon,20/10/1950,66,Licence de letttres,0,Chroniqueur dans l'émission Vivement Dimanche,Privé,Homme,Conseiller,1,02/01/2013,,15/07/2014,,Armée,null,,559,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000026878968&categorieLien=id;https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029238123
53,Vincent Berger,28/10/1967,49,Normal Sup,0,Président de l'université Paris Diderot,Public,Homme,"Conseiller éducation, enseignement supérieur et recherche",1,08/04/2013,,11/10/2013,1,"Conseiller éducation, enseignement supérieur et recherche de la présidence de la République",Public,,186,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000028836696&dateTexte=&categorieLien=id,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000028056579"
60,Geneviève Gueydan,1963,53,ENA (Victor Hugo),1,Chargée d'une mission au secrétariat général de la ville de Paris ,Public,Femme,Conseillère politique de solidarité et du logement,1,13/05/2013,,01/08/2014,,Directrice de la caisse nationale de solidarité pour l'autonomie,Public,,445,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000027406082&categorieLien=id,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029314038,http://www.cnsa.fr/actualites-agenda/actualites/genevieve-gueydan-nouvelle-directrice-de-la-cnsa"
